Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
学校,school,学校[がっこう],Noun,,jlpt-n5
川,"river, stream",川[かわ],Noun,"River, the ... river",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
手,"hand, arm",手[て],Noun,"forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards); direction; move (in go, shogi, etc.)",jlpt-n5 jlpt-n5
戸,door (esp. Japanese-style),戸[と],Noun,"shutter, window shutter; entrance (to a home); narrows",jlpt-n5 jlpt-n5
眼鏡,"glasses, eyeglasses, spectacles",眼鏡[めがね],Noun,"judgment, judgement, discrimination, discernment, insight",jlpt-n1 jlpt-n5 jlpt-n1 jlpt-n5
煙草,"tobacco, cigarette, cigaret, cigar",煙草[たばこ],Noun,tobacco plant (Nicotiana tabacum),jlpt-n1 jlpt-n5
赤,"red, crimson, scarlet",赤[あか],Noun,"red-containing colour (e.g. brown, pink, orange); Red (i.e. communist); red light (traffic); red ink (i.e. in finance or proof-reading), (in) the red; complete, total, perfect, obvious; copper",jlpt-n5 jlpt-n5
仕事,"work, job, business, occupation, employment, vocation, task",仕事[しごと],"Noun, Suru verb, No-adjective",work,jlpt-n5
英語,English (language),英語[えいご],"Noun, No-adjective",,jlpt-n5 jlpt-n5
問題,"question (e.g. on a test), problem",問題[もんだい],Noun,"problem (e.g. societal, political), question, issue, subject (e.g. of research), case, matter; question (i.e. doubt); public discussion, controversy; trouble, problem, inconvenience, difficulty",jlpt-n5
部屋,"room, chamber",部屋[へや],Noun,"apartment, flat, pad; stable",jlpt-n5 jlpt-n5
子供,child,子供[こども],Noun,,jlpt-n5 jlpt-n5
時間,time,時間[じかん],Noun,"hour; period, class, lesson",jlpt-n5
雨,rain,雨[あめ],Noun,,jlpt-n5 jlpt-n5
先生,"teacher, master, doctor",先生[せんせい],Noun,"with names of teachers, etc. as an honorific; previous existence",jlpt-n5 jlpt-n5
年,year,年[とし],Noun,"age, years; past one's prime, old age",jlpt-n5
