Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
切符,ticket,切符[きっぷ],Noun,,jlpt-n5 jlpt-n5
外国人,"foreigner, foreign citizen, foreign national, alien, non-Japanese",外国人[がいこくじん],Noun,,jlpt-n5 jlpt-n5
財布,"purse, handbag, wallet",財布[さいふ],Noun,,jlpt-n5 jlpt-n5
鉛筆,pencil,鉛筆[えんぴつ],Noun,,jlpt-n5 jlpt-n5
大人,adult,大人[おとな],"Noun, No-adjective",,jlpt-n5 jlpt-n5
塩,"salt (i.e. sodium chloride), common salt, table salt",塩[しお],Noun,"salt (e.g. sodium chloride, calcium sulfate, etc.); hardship, toil, trouble; saltiness",jlpt-n1 jlpt-n5 jlpt-n1 jlpt-n5
砂糖,sugar,砂糖[さとう],Noun,,jlpt-n5 jlpt-n5
夏休み,"summer vacation, summer holiday",夏休[なつやす]み,Noun,,jlpt-n5 jlpt-n5
池,pond,池[いけ],Noun,,jlpt-n5 jlpt-n5
郵便局,post office,郵便局[ゆうびんきょく],Noun,,jlpt-n5 jlpt-n5
教室,classroom,教室[きょうしつ],Noun,"department, laboratory; single-room school, small school",jlpt-n5 jlpt-n5
耳,ear,耳[みみ],Noun,"hearing; edge, crust; selvedge (non-fray machined edge of fabrics), selvage",jlpt-n5 jlpt-n5
切手,"stamp (postage), merchandise certificate",切手[きって],Noun,,jlpt-n5 jlpt-n5
台所,kitchen,台所[だいどころ],"Noun, No-adjective",financial situation,jlpt-n5 jlpt-n5
電気,electricity,電気[でんき],Noun,(electric) light,jlpt-n5 jlpt-n5
作文,"writing (an essay, prose, etc.), composition",作文[さくぶん],"Noun, Suru verb",formal writing with little real meaning,jlpt-n5 jlpt-n5
紅茶,black tea,紅茶[こうちゃ],Noun,,jlpt-n5 jlpt-n5
家庭,"home, family, household",家庭[かてい],"Noun, No-adjective",,jlpt-n5 jlpt-n5
野菜,vegetable,野菜[やさい],"Noun, No-adjective",,jlpt-n5 jlpt-n5
風呂,"bath, bathing, bathtub, bathroom",風呂[ふろ],Noun,"bathhouse, public bath; room for drying lacquerware; base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
玄関,"entrance, front door, entryway, entranceway, entry hall, vestibule, porch, foyer, mud room",玄関[げんかん],Noun,,jlpt-n5 jlpt-n5
地下鉄,"underground train, subway",地下鉄[ちかてつ],Noun,,jlpt-n5 jlpt-n5
鼻,nose,鼻[はな],Noun,,jlpt-n5 jlpt-n5
緑,green,緑[みどり],"No-adjective, Noun",greenery (esp. fresh verdure),jlpt-n5 jlpt-n5
昼,"noon, midday",昼[ひる],Noun,daytime; lunch,jlpt-n5 jlpt-n5
西,west,西[にし],Noun,,jlpt-n5 jlpt-n5
白,white,白[しろ],Noun,"innocence, innocent person; blank space; white go stone; white dragon tile; skewered grilled pig intestine",jlpt-n5 jlpt-n5
洗濯,"washing, laundry",洗濯[せんたく],"Noun, Suru verb","relaxing, taking a break",jlpt-n5 jlpt-n5
冷蔵庫,"refrigerator, fridge",冷蔵庫[れいぞうこ],Noun,,jlpt-n5 jlpt-n5
南,south,南[みなみ],Noun,,jlpt-n5 jlpt-n5
火曜日,Tuesday,火曜日[かようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
北,north,北[きた],Noun,"the North, northern territories; North Korea; north wind",jlpt-n5 jlpt-n5
茶色,"light brown, tawny",茶色[ちゃいろ],"Noun, No-adjective",,jlpt-n5 jlpt-n5
喫茶店,"coffee shop, tearoom, coffee lounge, coffeehouse, cafe",喫茶店[きっさてん],Noun,,jlpt-n5 jlpt-n5
黒,black,黒[くろ],Noun,"black go stone; guilt, guilty person",jlpt-n5 jlpt-n5
青,"blue, azure",青[あお],"Noun, No-adjective","green; green light (traffic); black (horse coat color); immature, unripe, young",jlpt-n5 jlpt-n5
靴下,"socks, sock, stockings, stocking",靴下[くつした],Noun,,jlpt-n5 jlpt-n5
封筒,envelope,封筒[ふうとう],Noun,,jlpt-n5 jlpt-n5
辺,"area, vicinity, region",辺[へん],Noun,"side, edge; circumstances",jlpt-n5 jlpt-n5
黄色,"yellow, amber",黄色[きいろ],"Na-adjective, Noun",,jlpt-n1 jlpt-n5 jlpt-n1 jlpt-n5
映画館,"movie theatre, movie theater, cinema",映画館[えいがかん],Noun,,jlpt-n5 jlpt-n5
箸,chopsticks,箸[はし],Noun,,jlpt-n2 jlpt-n5 jlpt-n2 jlpt-n5
食堂,"dining room, dining hall, cafeteria, messroom",食堂[しょくどう],Noun,"restaurant, eatery, snack bar, diner",jlpt-n5 jlpt-n5
牛肉,beef,牛肉[ぎゅうにく],Noun,,jlpt-n5 jlpt-n5
交差点,"crossing, intersection",交差点[こうさてん],Noun,,jlpt-n5 jlpt-n5
茶わん,"rice bowl, tea cup, teacup",茶[ちゃ]わん,Noun,,jlpt-n2 jlpt-n5
漢字,"Chinese characters, kanji",漢字[かんじ],Noun,,jlpt-n5 jlpt-n5
曇り,"cloudiness, cloudy weather",曇[くも]り,Noun,"fog (on a mirror, glasses, etc.), cloud (e.g. in marble), blur, mist, shadow, dimness; gloom, dejection",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
背広,business suit,背広[せびろ],Noun,,jlpt-n5 jlpt-n5
万年筆,fountain pen,万年筆[まんねんひつ],Noun,,jlpt-n5 jlpt-n5
灰皿,ashtray,灰皿[はいざら],Noun,,jlpt-n1 jlpt-n5 jlpt-n1 jlpt-n5
大使館,embassy,大使館[たいしかん],Noun,,jlpt-n5 jlpt-n5
豚肉,pork,豚肉[ぶたにく],Noun,,jlpt-n5 jlpt-n5
交番,"police box, small neighborhood police station",交番[こうばん],"Noun, Suru verb","alternation, alternating (e.g. current)",jlpt-n5 jlpt-n5
飲む,"to drink, to gulp, to swallow, to take (medicine)",飲[の]む,"Godan verb with mu ending, Transitive verb","to smoke (tobacco); to engulf, to overwhelm; to keep down, to suppress; to accept (e.g. demand, condition); to make light of, to conceal",jlpt-n5 jlpt-n5
頭,head,頭[あたま],Noun,"hair (on one's head); mind, brains, intellect; leader, chief, boss, captain; top, tip; beginning, start; head, person; top structural component of a kanji; pair",jlpt-n5 jlpt-n5
日曜日,Sunday,日曜日[にちようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
誕生日,birthday,誕生日[たんじょうび],Noun,,jlpt-n5 jlpt-n5
可愛い,"cute, adorable, charming, lovely, pretty",可愛[かわ]い,I-adjective,"dear, precious, darling, pet; innocent, childlike, childish, lovable; dainty, cute little, tiny",jlpt-n1 jlpt-n5
鞄,"bag, satchel, briefcase, basket",鞄[かばん],Noun,,jlpt-n5
土曜日,Saturday,土曜日[どようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
月曜日,Monday,月曜日[げつようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
金曜日,Friday,金曜日[きんようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
花瓶,(flower) vase,花瓶[かびん],Noun,,jlpt-n5 jlpt-n5
木曜日,Thursday,木曜日[もくようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
本棚,"bookshelves, bookshelf, bookcase",本棚[ほんだな],Noun,,jlpt-n5 jlpt-n5
石鹸,soap,石鹸[せっけん],Noun,,jlpt-n2 jlpt-n5
水曜日,Wednesday,水曜日[すいようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
飴,"(hard) candy, toffee",飴[あめ],Noun,"rice-sugar, sugar made from the starch of rice, potatoes, etc.; amber, yellowish-brown",jlpt-n5 jlpt-n5
八百屋,greengrocer,八百屋[やおや],Noun,,jlpt-n5 jlpt-n5
成る,"to become, to get, to grow, to be, to reach, to attain",成[な]る,"Godan verb with ru ending, intransitive verb","to result in, to prove to be; to consist of, to be composed of; to succeed, to be complete; to change into, to be exchanged for; to play a role; to be promoted; to do ...",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
より,than,より,Particle,"from, out of, since, at, on; except, but, other than; more",jlpt-n5 jlpt-n5
一番,"number one, first, first place",一番[いちばん],"Noun, No-adjective","best, most; game, round, bout; as a test, as an experiment, by way of experiment, by way of trial, tentatively; song (e.g. in noh), piece",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
私,"I, me",私[わたし],Pronoun,"private affairs, personal matter, secrecy; selfishness",jlpt-n5 jlpt-n5
外,"outside, exterior",外[そと],Noun,open air; other place,jlpt-n5 jlpt-n5
姉,"older sister, elder sister",姉[あね],Noun,,jlpt-n5 jlpt-n5
百,"100, hundred",百[ひゃく],Numeric,,jlpt-n5 jlpt-n5
在る,"to be, to exist, to live",在[あ]る,"Godan verb with ru ending (irregular verb), intransitive verb","to have; to be located; to be equipped with; to happen, to come about",jlpt-n3 jlpt-n2 jlpt-n5
其の,"that (something or someone distant from the speaker, close to the listener; actions of the listener, or ideas expressed or understood by the listener), the",其[そ]の,Pre-noun adjectival,"um..., er..., uh...",jlpt-n3 jlpt-n5
言う,"to say, to utter, to declare",言[い]う,Godan verb with u ending,"""to name, to call; to go (e.g. """"the alarm went ping""""), to make a noise""",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
出来る,"to be able (in a position) to do, to be up to the task",出来[でき]る,"Ichidan verb, intransitive verb","to be ready, to be completed; to be made, to be built; to be good at, to be permitted (to do); to become intimate, to take up (with somebody); to grow, to be raised; to become pregnant",jlpt-n3 jlpt-n5
良い,"good, excellent, fine, nice, pleasant, agreeable",良[よ]い,I-adjective,"sufficient, enough, ready, prepared; profitable (deal, business offer, etc.), beneficial; OK, all right, fine, no problem",jlpt-n3 jlpt-n1 jlpt-n5
下さい,please give me,下[くだ]さい,Expression,please do for me,jlpt-n5
見る,"to see, to look, to watch, to view, to observe",見[み]る,"Ichidan verb, Transitive verb","to look over, to look on, to assess, to examine, to judge; to look after, to keep an eye on, to take care of; to view (e.g. flowers, movie); to try, to try out, to test; to see that..., to find that...",jlpt-n5 jlpt-n5
此の,"this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker)",此[こ]の,Pre-noun adjectival,,jlpt-n3 jlpt-n1 jlpt-n5
自分,"myself, yourself, oneself, himself, herself",自分[じぶん],Pronoun,"I, me; you",jlpt-n5 jlpt-n5
知る,"to be aware of, to know, to be conscious of, to cognize, to cognise",知[し]る,"Godan verb with ru ending, Transitive verb","to notice, to feel; to understand, to comprehend, to grasp; to remember, to be acquainted with (a procedure); to experience, to go through, to learn; to be acquainted with (a person), to get to know; to concern",jlpt-n5 jlpt-n5
持つ,"to hold (in one's hand), to take, to carry",持[も]つ,Godan verb with tsu ending,"to possess, to have, to own; to maintain, to keep; to last, to be durable, to keep, to survive; to take charge of, to be in charge of",jlpt-n5 jlpt-n5
何,what,何[なに],Pronoun,"how many; large number of, many; you-know-what, that; whatsit, what's the expression, what do you call them; what?; hey!",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
車,"car, automobile, vehicle",車[くるま],Noun,wheel,jlpt-n5 jlpt-n5
話す,"to talk, to speak, to converse, to chat",話[はな]す,"Godan verb with su ending, Transitive verb","to tell, to explain, to narrate, to mention, to describe, to discuss; to speak (a language)",jlpt-n5 jlpt-n5
今,"now, the present time, just now, soon, immediately, (one) more",今[いま],"Adverbial noun, Noun",,jlpt-n5 jlpt-n5
今日,"today, this day",今日[きょう],Temporal noun,"these days, recently, nowadays",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
買う,"to buy, to purchase",買[か]う,"Godan verb with u ending, Transitive verb","to value, to have a high opinion; to stir, to provoke, to draw upon oneself",jlpt-n5 jlpt-n5
読む,to read,読[よ]む,"Godan verb with mu ending, Transitive verb","to count; to guess, to predict, to read (someone's thoughts), to see (e.g. into someone's heart), to divine",jlpt-n5 jlpt-n5
皆,"all, everyone, everybody",皆[みんな],"Adverb, Noun",everything,jlpt-n4 jlpt-n3 jlpt-n5 jlpt-n4 jlpt-n3 jlpt-n5
新しい,"new, novel, fresh, recent, latest, up-to-date, modern",新[あたら]しい,I-adjective,,jlpt-n5 jlpt-n5
話,"talk, speech, chat, story, conversation",話[はなし],Noun,"discussions, negotiation, argument",jlpt-n5 jlpt-n5
明日,tomorrow,明日[あした],Temporal noun,near future,jlpt-n4 jlpt-n5 jlpt-n4 jlpt-n5
昨日,yesterday,昨日[きのう],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
出る,"to leave, to exit, to go out, to come out, to get out",出[で]る,"Ichidan verb, intransitive verb","to leave (on a journey), to depart, to start out, to set out; to move forward; to come to, to get to, to lead to, to reach; to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display; to appear (in print), to be published, to be announced, to be issued, to be listed, to come out; to attend, to participate, to take part, to enter (an event), to play in, to perform; to be stated, to be expressed, to come up, to be brought up, to be raised; to sell; to exceed, to go over; to stick out, to protrude; to break out, to occur, to start, to originate; to be produced; to come from, to be derived from; to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid; to answer (phone, door, etc.), to get; to assume (an attitude), to act, to behave; to pick up (speed, etc.), to gain; to flow (e.g. tears), to run, to bleed; to graduate",jlpt-n5 jlpt-n5
勉強,study,勉強[べんきょう],"Noun, Suru verb","diligence; discount, reduction",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
取る,"to take, to pick up, to harvest, to earn, to win, to choose",取[と]る,"Godan verb with ru ending, Transitive verb","to steal; to eat, to have (a meal); to remove (one's glasses, etc.); to compete (in sumo, cards, etc.), to play",jlpt-n5 jlpt-n5
誰,who,誰[だれ],Pronoun,,jlpt-n1 jlpt-n5 jlpt-n1 jlpt-n5
お金,money,お 金[かね],Noun,,jlpt-n5 jlpt-n5
男,"man, male",男[おとこ],"Noun, Noun - used as a prefix","fellow, guy, chap, bloke; male lover, boyfriend, man; manliness, manly honor, manly honour, manly reputation",jlpt-n5 jlpt-n5
犬,dog (Canis (lupus) familiaris),犬[いぬ],Noun,"snoop (i.e. a detective, a spy, etc.); loser, asshole; counterfeit, inferior, useless, wasteful",jlpt-n5 jlpt-n5
使う,"to use (a thing, method, etc.), to make use of, to put to use",使[つか]う,"Godan verb with u ending, Transitive verb","to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate; to use (time, money, etc.), to spend, to consume; to use (language), to speak",jlpt-n5 jlpt-n5
大変,"very, greatly, terribly, awfully",大変[たいへん],Adverb,"immense, enormous, great; serious, grave, dreadful, terrible; difficult, hard; major incident, disaster",jlpt-n5 jlpt-n5
待つ,to wait,待[ま]つ,"Godan verb with tsu ending, Transitive verb, intransitive verb","to await, to look forward to, to anticipate; to depend on, to need",jlpt-n5 jlpt-n5
作る,"to make, to produce, to manufacture, to build, to construct",作[つく]る,"Godan verb with ru ending, Transitive verb","to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion; to form (a line, etc.); to set (a record); to commit (a sin, etc.)",jlpt-n2 jlpt-n1 jlpt-n5 jlpt-n2 jlpt-n1 jlpt-n5
後ろ,"back, behind, rear",後[うし]ろ,"Noun, No-adjective",,jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
町,"town, block, neighbourhood, neighborhood",町[まち],Noun,"downtown, main street; street, road; 109.09 m; 0.99 hectares",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
駅,"railway station, train station",駅[えき],Noun,staging post on a highway (in pre-modern Japan),jlpt-n5 jlpt-n5
少し,"small quantity, little, few, something",少[すこ]し,"Adverb, Noun",little while; short distance,jlpt-n5 jlpt-n5
貴方,you (referring to someone of equal or lower status),貴方[あなた],Pronoun,dear (what a wife calls a husband),jlpt-n1 jlpt-n5
