Japanese	type	Romaji	English
起こす	verb"}”>verb	Okosu	To raise
億	noun	Oku	10^8
屋上	noun	Okujō	Rooftop
遅れる	verb"}”>verb	Okureru	To be late
贈り物	noun	Okurimono	Present
送る	verb"}”>verb	Okuru	To send
思い出す	verb"}”>verb	Omoidasu	To recall
思う	verb"}”>verb	Omou	To think
音	noun	On	Sound
折れる	verb"}”>verb	Oreru	To break
下りる	verb"}”>verb	Oriru	To descend
折る	verb"}”>verb	Oru	To break
押し入れ	noun	Oshiire	Closet
落す	verb"}”>verb	Otosu	To drop
夫	noun	Otto	Husband
終わり	noun	Owari	The end
親	noun	Oya	Parent
ら	suffix	ra	class
来月	noun	raigetsu	next month
来週	noun	raishū	next week
楽	noun	Raku	Comfort
礼	noun	rei	thanking
冷房	noun	Reibō	Cooling
歴史	noun	Rekishi	History
連絡	noun	Renraku	To contact
利用	noun	Riyō	Use
理由	noun	Riyū	Reason
留守	noun	Rusu	Absence
両方	noun	Ryōhō	Both sides
旅館	noun	Ryokan	Japanese hotel
さ	verb"}”>adverb	Sa	So
さ	verb"}”>adverb	Sa	So
寂しい	adjective"}”>adjective	Sabishī	Lonely
探す	verb"}”>verb	Sagasu	To search
下げる	verb"}”>verb	Sageru	To hang
最後	noun	Saigo	Last
最近	noun	Saikin	Most recent
最初	noun	Saisho	Beginning
坂	noun	Saka	Slope
盛ん	adjective-na"}”>adjective-na	Sakan	Popular
様	noun	Sama	Mr, Mrs or Ms
さん	suffix	san	Mr, Mrs, Miss or Ms
産業	noun	Sangyō	Industry
差し上げる	verb"}”>verb	Sashiageru	To give
騒ぐ	verb"}”>verb	Sawagu	To make noise
触る	verb"}”>verb	Sawaru	To touch
生	suffix	sei	life
生	suffix	sei	life
政治	noun	Seiji	Politics
生活	noun	Seikatsu	Living
生産	noun	Seisan	Production
西洋	noun	Seiyō	The west
世界	noun	Sekai	The world
席	noun	Seki	Seat
線	noun	Sen	Line
背中	noun	Senaka	Back
専門	noun	Senmon	Speciality
先輩	noun	Senpai	Senior
戦争	noun	Sensō	War
せる	auxiliary	seru	verb indicating the causative"}”>auxiliary verb indicating the causative
説明	noun	Setsumei	Explanation
世話	noun	Sewa	Looking after
社	noun	sha	company
社長	noun	Shachō	Company president
社会	noun	Shakai	Society
市	noun	Shi	Market
試合	noun	Shiai	Match
仕方	noun	Shikata	Way
試験	noun	Shiken	Examination
島	noun	Shima	Island
市民	noun	Shimin	Citizen
品物	noun	Shinamono	Goods
新聞	noun	Shinbun	Newspaper
心配	noun	Shinpai	Worry
親切	noun	Shinsetsu	Kindness
失敗	noun	Shippai	Failure
知ら	verb"}”>verb	Shira	To know
調べる	verb"}”>verb	Shiraberu	To examine
下着	noun	Shitagi	Underwear
支度	noun	Shitaku	Preparation
室	suffix	shitsu	room
室	suffix	shitsu	room
失礼	noun	Shitsurei"}”>Shitsurei	Discourtesy
所	suffix	sho	counter for places
小	prefix	Shō	Small
承知	noun	Shōchi	Acknowledgment
正月	noun	Shōgatsu	New Year
紹介	noun	Shōkai	Introduction
食事	noun	Shokuji	Meal
食料	noun	Shokuryō	Food"}”>Food
将来	noun	Shōrai	Future
小説	noun	Shōsetsu	Novel
招待	noun	Shōtai	Invitation
手	suffix	shu	hand
主人	noun	shujin	head
習慣	noun	Shūkan	Custom
趣味	noun	Shumi	Hobby
出発	noun	Shuppatsu	Departure
出席	noun	Shusseki	Attendance
祖母	noun	Sobo	Grandmother
相談	noun	Sōdan	Consultation
育てる	verb"}”>verb	Sodateru	To raise
祖父	noun	Sofu	Grandfather
卒業	noun	Sotsugyō	Graduation
滑る	verb"}”>verb	Suberu	To glide
数学	noun	Sūgaku	Mathematics
過ぎる	verb"}”>verb	Sugiru	To pass through
凄い	adjective"}”>adjective	Sugoi"}”>Sugoi	Terrible
水道	noun	Suidō	Water service
水泳	noun	Suiei	Swimming
隅	noun	Sumi	Corner
済む	verb"}”>verb	Sumu	To finish
砂	noun	Suna	Sand
進む	verb"}”>verb	Susumu	To advance
捨てる	verb"}”>verb	Suteru	To throw away
正しい	adjective"}”>adjective	Tadashī	Right
台風	noun	Taifū	Typhoon
退院	noun	Taiin	Leaving hospital
集る	verb"}”>verb	Takaru	To gather
宅	noun	taku	house
為	noun	Tame	Good
棚	noun	Tana	Shelf
楽しみ	noun	Tanoshimi	Enjoyment
倒れる	verb"}”>verb	Taoreru	To fall
足りる	verb"}”>verb	Tariru	To be sufficient
確か	verb"}”>adverb	Tashika	Certain
足す	verb"}”>verb	Tasu	To add
畳	noun	Tatami	Tatami mat
建て	verb"}”>verb	Tate	To stand up
建てる	verb"}”>verb	Tateru	To stand up
立てる	verb"}”>verb	Tateru	To stand up
例えば	verb"}”>adverb	Tatoeba	For example
立つ	verb"}”>verb	tatsu	to stand
尋ねる	verb"}”>verb	Tazuneru	To ask
訪ねる	verb"}”>verb	Tazuneru	To visit
手袋	noun	Tebukuro	love"}”>Glove
丁寧	adjective-na"}”>adjective-na	Teinei	Polite"}”>Polite
適当	noun	Tekitō	Suitable
点	noun	Ten	Spot
店員	noun	Ten’in	Shop assistant
天気	noun	Tenki	Weather
展覧	noun	Tenran	Exhibition
寺	noun	Tera	Temple
手伝う	verb"}”>verb	Tetsudau	To help
都	noun	To	Metropolitan
途中	noun	Tochū	On the way
届ける	verb"}”>verb	Todokeru	To deliver
特急	noun	Tokkyū	Limited express
遠く	adjective"}”>adjective	Tōku	Far
特別	adjective-na"}”>adjective-na	Tokubetsu	Special
特に	verb"}”>adverb	Tokuni	Particularly
泊まる	verb"}”>verb	Tomaru	To stay at
止める	verb"}”>verb	Tomeru	To stop
止める	verb"}”>verb	Tomeru	To stop
通り	noun	Tōri	Avenue
取り替える	verb"}”>verb	Torikaeru	To exchange
通る	verb"}”>verb	Tōru	To pass
都合	noun	Tsugō	Circumstances
捕まえる	verb"}”>verb	Tsukamaeru	To catch
漬ける	verb"}”>verb	Tsukeru	To soak
点く	verb"}”>verb	Tsuku	To be attached
妻	noun	Tsuma	Wife
連れる	verb"}”>verb	Tsureru	To lead
釣る	verb"}”>verb	Tsuru	To hang
伝える	verb"}”>verb	Tsutaeru	To convey
包む	verb"}”>verb	Tsutsumu	To wrap up
続ける	verb"}”>verb	Tsuzukeru	To continue
続く	verb"}”>verb	Tsuzuku	To continue
腕	noun	Ude	Arm
植える	verb"}”>verb	Ueru	To plant
動く	verb"}”>verb	Ugoku	To move
受ける	verb"}”>verb	Ukeru	To receive
受付	noun	Uketsuke	Reception
運動	noun	Undō	Motion
運転	noun	Unten	Operation
運転	noun	Unten	Operation
裏	noun	Ura	Bottom
売り場	noun	Uriba	Place where things are sold
打つ	verb"}”>verb	Utsu	To hit
美しい	adjective"}”>adjective	Utsukushī	Beautiful
移る	verb"}”>verb	Utsuru	To move
写す	verb"}”>verb	Utsusu	To transcribe
別れる	verb"}”>verb	Wakareru	To be divided
沸かす	verb"}”>verb	Wakasu	To boil
沸く	verb"}”>verb	Waku	To grow hot
笑う	verb"}”>verb	Warau	To laugh
割れる	verb"}”>verb	Wareru	To break
割合	noun	Wariai	Rate
忘れ物	noun	Wasuremono	Lost article
焼ける	verb"}”>verb	Yakeru	To burn
焼く	verb"}”>verb	Yaku	To bake
役	noun	Yaku	War
訳	noun	Yaku	Translation
約束	noun	Yakusoku	Arrangement
優しい	adjective"}”>adjective	Yasashī	Tender
柔らかい	adjective"}”>adjective	Yawarakai	Soft
用	noun	Yō	Task
汚れる	verb"}”>verb	Yogoreru	To be violated
予報	noun	yohō	forecast
用意	noun	Yōi	Preparation
用事	noun	Yōji	Tasks
喜ぶ	verb"}”>verb	Yorokobu	To be delighted
寄る	verb"}”>verb	Yoru	To visit
予習	noun	Yoshū	Preparation for a lesson
予定	noun	Yotei	Plans
予約	noun	Yoyaku	Reservation
湯	noun	Yu	Hot water
指	noun	Yubi	Finger
指輪	noun	Yubiwa	ring
夕飯	noun	Yūhan	Evening meal
夢	noun	Yume	Dream
輸入	noun	Yunyū	Importation
揺れる	verb"}”>verb	Yureru	To shake
輸出	noun	Yushutsu	Export
残念	adjective-na"}”>adjective-na	Zannen	Deplorable
存じ	verb"}”>verb	zonji	to think, feel, consider, know, etc.
